"","Record.ID","Catalogue.Number","Taxon.Concept.GUID","Scientific.Name...original","Vernacular.name...original","Scientific.Name","Taxon.Rank","Vernacular.name","Kingdom","Phylum","Class","Order","Family","Genus","Species","Subspecies","Data.Resource.ID","Data.Resource.Name","Institution.ID","Institution","Collection.ID","Collection","Licence","Institution.Code","Collection.Code","Locality","Latitude...original","Longitude...original","Geodetic.datum...original","Latitude","Longitude","Coordinate.Precision","Coordinate.Uncertainty.in.Metres","Country...parsed","State...parsed","Local.Government.Areas","IMCRA.4.Regions","IBRA.7.Regions","Maximum.elevation.in.meters","Minimum.elevation.in.meters","Minimum.depth.in.meters","Maximum.depth.in.meters","Individual.count","Collector","Year","Month","Day","Event.Date...parsed","Verbatim.event.date","Basis.Of.Record...original","Basis.Of.Record","Occurrence.status","Sex","Preparations","Outlier.for.layer","Taxonomic.Quality","Location.Quality"
"3092","fe5ab01d-b6bd-476c-bb97-d28dcbf02855","986668","urn:lsid:catalogueoflife.org:taxon:913acb13-e478-11e5-86e7-bc764e092680:col20161028","Collybia eucalyptorum","","Collybia eucalyptorum","species","","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Tricholomataceae","Collybia","Collybia eucalyptorum","","dr710","Tasmanian Natural Values Atlas","","","","","CC-BY","","","",-43.0999957428215,147.783336922101,"EPSG:4326",-43.0999957428215,147.783336922101,NA,100,"Australia","Tasmania","Tasman (M)","","Tasmanian South East",NA,NA,NA,NA,"","David Ratkowsky (2589),G Gates (7518)",2004,3,12,"2004-03-12","","Sighting","HumanObservation","present","","","","true","true"
"179399","8aa76832-347c-40a6-882b-f6c3169b2647","CBG 66968.1","NZOR-4-104292","Xanthoparmelia flavescentireagens (Gyeln.) D.J.Galloway","","Xanthoparmelia flavescentireagens","species","","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","Xanthoparmelia","Xanthoparmelia flavescentireagens","","dr376","MEL AVH data","in5","Centre for Australian National Biodiversity Research","co12","Australian National Herbarium","CC-BY 3.0 (Au)","CANB","CBG","Mt Murray, Bimberi Range, 52 km SW of Canberra.",-35.6833,148.7833,"",-35.6833,148.7833,NA,1000,"Australia","New South Wales","Tumut Shire (A)","","Australian Alps",1845,1845,NA,NA,"","Streimann, H.",1977,2,2,"1977-02-02","","PreservedSpecimen","PreservedSpecimen","present","","vertical","","true","true"
"221770","5546d6eb-cb2e-42a3-95f3-689f2c274867","CANB 774307.1","NZOR-4-130030","Graphidaceae Dumort.","","Graphidaceae","family","","Fungi","Ascomycota","Lecanoromycetes","Ostropales","Graphidaceae","","","","dr376","MEL AVH data","in5","Centre for Australian National Biodiversity Research","co12","Australian National Herbarium","CC-BY 3.0 (Au)","CANB","CANB","Koombooloomba Dam. Near Weir.",-17.8333,145.6,"",-17.8333,145.6,NA,2000,"Australia","Queensland","Tablelands (R)","","Wet Tropics",NA,NA,NA,NA,"","Ewers, W.H.",1991,9,23,"1991-09-23","","PreservedSpecimen","PreservedSpecimen","present","","vertical","","true","true"
"39060","e63947f2-c4a3-4bfe-86ad-84cd8b124434","PERTH 6984967","NZOR-4-99082","Flavoparmelia soredians (Nyl.) Hale","","Flavoparmelia soredians","species","","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","Flavoparmelia","Flavoparmelia soredians","","dr376","MEL AVH data","in33","Western Australia, Department of Biodiversity, Conservation and Attractions","co75","Western Australian Herbarium","CC-BY 3.0 (Au)","PERTH","PERTH","Mount Henry",-32.02333333,115.86833333,"GDA94",-32.0233333292,115.86833333,NA,3000,"Australia","Western Australia","South Perth (C)","","Swan Coastal Plain",NA,NA,NA,NA,"","Sammy, N.",1980,9,2,"1980-09-02","2 Sep 1980","PreservedSpecimen","PreservedSpecimen","present","","","","true","true"
"376668","5c027cb2-988f-4a50-9042-b08d34974b09","93960","NZOR-4-65738","Entoloma viridomarginatum","","Entoloma viridomarginatum","species","","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Entolomataceae","Entoloma","Entoloma viridomarginatum","","dr711","Fungimap","","","","","CC-BY 4.0 (Int)","","","Growling Swallet",-42.683327,146.500002,"",-42.683327,146.500002,NA,NA,"Australia","Tasmania","Derwent Valley (M)","","Tasmanian Southern Ranges",NA,NA,NA,NA,"","From the records of G. Gates and D. Ratkowsky",NA,NA,NA,"","","Observation","HumanObservation","present","","","","true","true"
"266180","50c9391f-21d0-420f-a398-1e918e1155bd","HO 528757","NZOR-4-86715","Coccotrema ? porinopsis (Nyl.) Imshaug ex Yoshim.","","Coccotrema porinopsis","species","","Fungi","Ascomycota","Lecanoromycetes","Pertusariales","Coccotremataceae","Coccotrema","Coccotrema porinopsis","","dr10574","HO AVH data","in25","Tasmanian Museum and Art Gallery","co60","Tasmanian Herbarium","CC-BY 3.0 (Au)","HO","HO","South Sister, near summit",-41.533333,148.166667,"EPSG:4202",-41.531935,148.167672,NA,50,"Australia","Tasmania","Break O'Day (M)","","Ben Lomond",NA,NA,NA,NA,"","Kantvilas, G.",2004,11,11,"2004-11-11","11 Nov 2004","PreservedSpecimen","PreservedSpecimen","present","","packet","","true","true"
"19625","f2c71b4c-2a01-40d4-a16b-5f6adb509698","","urn:lsid:indexfungorum.org:names:18084","Mycena (Pers.) Roussel","","Mycena","genus","","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Mycenaceae","Mycena","","","dr1902","Questagame weekly feed","","","","","CC-BY-NC","","","",-26.8,152.9,"WGS84",-26.8,152.9,NA,NA,"Australia","Queensland","Sunshine Coast (R)","","South Eastern Queensland",NA,NA,NA,NA,"","The Myall Mob|questagame.com",2016,2,7,"2016-02-07","","","HumanObservation","present","","","","true","false"
"2288","fdcda0d5-e4c4-496e-af6e-16e435732075","MEL 0228745A","2ff0465c-fb44-4918-9811-b5101e62c512","Trametes versicolor","","Trametes versicolor","species","Turkeytail","Fungi","Basidiomycota","Agaricomycetes","Polyporales","Polyporaceae","Trametes","Trametes versicolor","","dr376","MEL AVH data","in21","Royal Botanic Gardens Victoria","co55","National Herbarium of Victoria","CC-BY 3.0 (Au)","MEL","MEL","Bass Strait. Deal Island, Kent Group.",-39.4667,147.35,"",-39.4667,147.35,NA,10000,"Australia","Tasmania","Flinders (M)","","Furneaux",NA,NA,NA,NA,"","Garreau, C.A.",1957,8,8,"1957-08-08","","PreservedSpecimen","PreservedSpecimen","present","","packet","","true","true"
"144260","a2c25f64-281b-4b2c-9749-87369cbdd4ab","HO 588834","NZOR-4-80835","Dibaeis  arcuata (Stirt.) Kalb & Gierl","","Dibaeis arcuata","species","","Fungi","Ascomycota","Lecanoromycetes","Pertusariales","Icmadophilaceae","Dibaeis","Dibaeis arcuata","","dr10574","HO AVH data","in25","Tasmanian Museum and Art Gallery","co60","Tasmanian Herbarium","CC-BY 3.0 (Au)","HO","HO","Mt Wedge",-42.85,146.3,"EPSG:4202",-42.848627,146.301055,NA,50,"Australia","Tasmania","Derwent Valley (M)","","Tasmanian West",NA,NA,NA,NA,"","Kantvilas, G.",2017,10,7,"2017-10-07","7 Oct 2017","PreservedSpecimen","PreservedSpecimen","present","","packet","","true","true"
"233507","4edec203-3c99-4cb2-861e-02bd2297a1ce","CANB 766391.1","urn:lsid:indexfungorum.org:names:320","Arthonia Ach.","","Arthonia","genus","","Fungi","Ascomycota","Arthoniomycetes","Arthoniales","Arthoniaceae","Arthonia","","","dr376","MEL AVH data","in5","Centre for Australian National Biodiversity Research","co12","Australian National Herbarium","CC-BY 3.0 (Au)","CANB","CANB","Near the Boulders, Boulders Road. Babinda.",-17.3333,145.8667,"",-17.3333,145.8667,NA,2000,"Australia","Queensland","Cairns (R)","","Wet Tropics",NA,NA,NA,NA,"","Ewers, W.H.",1991,9,22,"1991-09-22","","PreservedSpecimen","PreservedSpecimen","present","","vertical","","true","false"
