"","id","institutionCode","collectionCode","ownerInstitutionCode","basisOfRecord","occurrenceID","catalogNumber","otherCatalogNumbers","kingdom","phylum","class","order","family","scientificName","taxonID","scientificNameAuthorship","genus","specificEpithet","taxonRank","infraspecificEpithet","identifiedBy","dateIdentified","identificationReferences","identificationRemarks","taxonRemarks","identificationQualifier","typeStatus","recordedBy","recordedByID","associatedCollectors","recordNumber","eventDate","year","month","day","startDayOfYear","endDayOfYear","verbatimEventDate","occurrenceRemarks","habitat","substrate","host","verbatimAttributes","fieldNumber","informationWithheld","dataGeneralizations","dynamicProperties","associatedTaxa","reproductiveCondition","establishmentMeans","cultivationStatus","lifeStage","sex","individualCount","samplingProtocol","samplingEffort","preparations","country","stateProvince","county","municipality","locality","locationRemarks","localitySecurity","localitySecurityReason","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertaintyInMeters","verbatimCoordinates","georeferencedBy","georeferenceProtocol","georeferenceSources","georeferenceVerificationStatus","georeferenceRemarks","minimumElevationInMeters","maximumElevationInMeters","minimumDepthInMeters","maximumDepthInMeters","verbatimDepth","verbatimElevation","disposition","language","recordEnteredBy","modified","sourcePrimaryKey.dbpk","collId","recordId","references"
"133300","5478713","N/A","","","HumanObservation","","12800","","Fungi","Fungi Incertae Sedis","Tremellomycetes","Tremellales","Tremellaceae","Tremella mesenterica","313682","Schumach.","Tremella","mesenterica","","","","","","","","","","Fungimap Recorder Number: 49","","","","2002-06-25","2002","6","25","176","","25/6/2002","Habitat: Eucalyptus camaldulensis open woodland; steep gorge Substrate: on wood Host: Eucalyptus camaldulensis River Red Gum Further Comments: Fungimap Coordinators Conference - Post Conference Foray","Eucalyptus camaldulensis open woodland; steep gorge","","","","","","","","","","","","","","","","","","Australia","South Australia","","","Mount Remarkable NP: Alligator Gorge","","0","","-32.60138888888889","138.2411111111111","","50","-32.60138888888889, 138.2411111111111","","","","","GPS Device Unknown","","","","","","400.0","","","","2018-08-23 19:17:58","965b140e-b67e-4753-99a1-50707973a76f","105","urn:uuid:9e2f8e36-fcc3-4a10-b8d5-a1ad41d7a470","http://mycoportal.org/portal/collections/individual/index.php?occid=5478713"
"126584","5471715","N/A","","","HumanObservation","","987522","","Fungi","Fungi Incertae Sedis","Sordariomycetes","Hypocreales","Cordycipitaceae","Cordyceps gunnii","151733","(Berk.) Berk.","Cordyceps","gunnii","","","","","","","","","","Ratkowsky, D. David","","","","2004-05-14","2004","5","14","135","","","","","","","","","","","","","","","","","","","","","","Australia","Tasmania","","","","","0","","-41.30000355131799","147.36666656531935","","100","530697.0, 5427874.0","","","","","","","","","","","","","","","2018-08-23 19:17:58","8d3d4dd6-0328-4ef8-9839-a453eb4f6aef","105","urn:uuid:fa6b8fb3-0fa6-4704-b77c-f3c010e67b34","http://mycoportal.org/portal/collections/individual/index.php?occid=5471715"
"16170","6967583","iNaturalist","Observations","","Human Observation","https://www.inaturalist.org/observations/13770520","13770520","","Fungi","Fungi Incertae Sedis","Agaricomycetes","Agaricales","Omphalotaceae","Marasmiellus affixus","185418","(Berk.) Singer","Marasmiellus","affixus","","","","2018-06-25T14:12:21Z","","","","","","morganchloe84","","","","2018-06-03","2018","6","3","154","","Sun Jun 03 2018 14:08:46 GMT+1000 (GMT+10)","","","","","<a href='https://www.inaturalist.org/observations/13770520' target='_blank' style='color: blue;'> Original observation #13770520 (iNaturalist)</a>","","","","","","","","","","","","","","","Australia","Victoria","","","Wombat Forest, , VIC, AU","","0","","-37.474797","144.2856","","5","","","","","","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84","","","","","","","","","preprocessed","2018-06-26 08:08:01","13770520","86","urn:uuid:6f86170e-d54b-4fc8-a8df-fab19c229616","http://mycoportal.org/portal/collections/individual/index.php?occid=6967583"
"36119","5377601","N/A","","","HumanObservation","","69220","","Fungi","Fungi Incertae Sedis","Agaricomycetes","Agaricales","Inocybaceae","Inocybe","15179","(Fr.) Fr.","Inocybe","","","","","","","","","","","From the records of G. Gates and D. Ratkowsky","","","","2002-12-12","2002","12","12","346","","","","","","","","","","","","","","","","","","","","","","Australia","Tasmania","","","","","0","","-43.199986","146.866676","","","","","","","","","","","","","","","","","","2018-08-23 19:17:58","144e09c0-7a41-41c8-a7ca-537dbb02ce65","105","urn:uuid:0f39cae2-8955-4637-9a71-c21d5f5b811b","http://mycoportal.org/portal/collections/individual/index.php?occid=5377601"
"27470","5368609","N/A","","","HumanObservation","","GR142407","","Fungi","Fungi Incertae Sedis","Agaricomycetes","Polyporales","Fomitopsidaceae","Postia dissecta","389894","(Cooke) Rajchenb.","Postia","dissecta","","","","","","","","","","From the records of G. Gates and D. Ratkowsky","","","","2005-06-14","2005","6","14","165","","Tue Jun 14 00:00:00 EST 2005","","","","","","","","","","","","","","","","","","","","Australia","Tasmania","","","North West Bay River","","0","","-42.949992","147.200005","","","-42.949992, 147.200005","","","","","","","","","","","","","","","2018-08-23 19:17:58","08a84b24-d727-461a-9d2a-5e6ed497884d","105","urn:uuid:e675340e-45b0-4592-ab12-5f97805eaba4","http://mycoportal.org/portal/collections/individual/index.php?occid=5368609"
"40187","5381823","N/A","","","HumanObservation","","106011","","","","","","","Fungi","7","","","","","","","","","","","","","From the records of G. Gates and D. Ratkowsky","","","","2003-04-19","2003","4","19","109","","","","","","","","","","","","","","","","","","","","","","Australia","Tasmania","","","","","0","","-42.06666","146.150001","","","","","","","","","","","","","","","","","","2018-08-23 19:17:58","19af5bb7-18bd-44ff-bb3b-d4f86cf555e0","105","urn:uuid:4a7aff6b-a90c-483b-8c07-6788518f5cd7","http://mycoportal.org/portal/collections/individual/index.php?occid=5381823"
"16124","6967326","iNaturalist","Observations","","Human Observation","https://www.inaturalist.org/observations/13732040","13732040","","Fungi","Fungi Incertae Sedis","Agaricomycetes","Polyporales","Polyporaceae","Trametes versicolor","189955","(L.) Lloyd","Trametes","versicolor","","","","2018-06-24T12:07:37Z","","","","","","Reiner Richter","","","","2018-06-24","2018","6","24","175","","2018/06/24 11:39 AM AEST","","","","","<a href='https://www.inaturalist.org/observations/13732040' target='_blank' style='color: blue;'> Original observation #13732040 (iNaturalist)</a>","","","","","","","","","","","","","","","Australia","Victoria","","","Toolangi VIC 3777, Australia","","0","","-37.526601","145.520622","","100","","","","","","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84","","","","","","","","","preprocessed","2018-06-25 04:00:24","13732040","86","urn:uuid:62fe8130-abb9-4070-86c5-6a31e0bfb34e","http://mycoportal.org/portal/collections/individual/index.php?occid=6967326"
"202705","5554131","N/A","","","HumanObservation","","63639","","Fungi","Fungi Incertae Sedis","Agaricomycetes","Agaricales","Agaricaceae","Leucocoprinus birnbaumii","185192","(Corda) Singer","Leucocoprinus","birnbaumii","","","","","","","","","","Fungimap Recorder Number: 1580","","","","2014-02-18","2014","2","18","49","","18/2/2014","Habitat: In a pot plant. Substrate: Host: Further Comments: Came up overnight after 8 inches (200mm) of rain.","","","","","","","","","","","","","","","","","","","Australia","Queensland","","","Deeragun, Dundabella Drive.","","0","","-19.25611111111111","146.67083333333332","","1000","-19.25611111111111, 146.67083333333332","","","","","","","","","","","","","","","2018-08-23 19:17:58","f6ecfb10-e4dd-4df8-9f63-354501359a51","105","urn:uuid:a3696e07-e6d6-4e3b-b94b-396231e0a973","http://mycoportal.org/portal/collections/individual/index.php?occid=5554131"
"109217","5453665","N/A","","","HumanObservation","","1011118","","Fungi","Fungi Incertae Sedis","Agaricomycetes","Agaricales","Marasmiaceae","Marasmiellus affixus","185418","(Berk.) Singer","Marasmiellus","affixus","","","","","","","","","","Ratkowsky, D. David","","","","2005-05-06","2005","5","6","126","","","","","","","","","","","","","","","","","","","","","","Australia","Tasmania","","","","","0","","-42.683332426255014","146.69999648227846","","100","475422.0, 5274306.0","","","","","","","","","","","","","","","2018-08-23 19:17:58","7633f0dd-181c-4189-a70b-65caa31c76b7","105","urn:uuid:d176665c-9cd0-4c71-808e-0fa70d482ca7","http://mycoportal.org/portal/collections/individual/index.php?occid=5453665"
"135970","5481486","N/A","","","HumanObservation","","GR135041","","Fungi","Fungi Incertae Sedis","Agaricomycetes","Agaricales","Agaricaceae","Lepiota","15538","","Lepiota","","","","","","","","","","","From the records of G. Gates and D. Ratkowsky","","","","2004-05-22","2004","5","22","143","","Sat May 22 00:00:00 EST 2004","","","","","","","","","","","","","","","","","","","","Australia","Tasmania","","","Fortescue Bay","","0","","-43.149988","147.950009","","","-43.149988, 147.950009","","","","","","","","","","","","","","","2018-08-23 19:17:58","99e97845-205b-4a32-bce9-c674e946a0bc","105","urn:uuid:5bd1d95f-69ba-4e52-8df4-242efc8fc6c2","http://mycoportal.org/portal/collections/individual/index.php?occid=5481486"
