"","id","Sp_no","Species.name","LAT","LA2","LA3","LONG","LO2","LO3","LATDEC","LONGDET","latdec_fudged","londec_fudged","ALT","SGRIDS","PRCODE","STATE","VGR","LOCALITY","HABITAT","SUBSTRATE","HOSTgenus","HOSTsp","HOSTcname","DAY","MONTH","YEAR","date.comments","oldID","BATCH","PHOTO","SPECIMEN","Checked","Initial","date.checked","Basis...specimen","Basis...photo","PhotoID","Submitted.as","date.entered","DENTRY","SS","SH","SL","COMMENTS","COLL.NO","DET","HERB.NO","LITauth","LITbibl","AHC","recorded_by","Doubtful.record","Book.or.REF","REF.Number"
"15796",74456,1171,1171,43,5,30,146,39,0,43.091659,146.65001,0,0,"","LLG","1","TAS",NA,"Warra Bird Track","","","","","",24,4,2007,"","",1,"","",NA,"","",NA,NA,NA,NA,"18/3/15","AB","SS","",NA,"",NA,NA,"",NA,NA,NA,279,NA,NA,0
"23871",82658,635,635,42,41,0,146,30,0,42.683327,146.500002,0,0,"","LLG","1","TAS",NA,"Growling Swallet","","","","","",8,8,2000,"","",1,"","",NA,"","",NA,NA,NA,NA,"18/3/15","AB","SS","",NA,"",NA,NA,"",NA,NA,NA,279,NA,NA,0
"12748",71233,1587,1587,41,18,0,147,22,0,41.299994,147.366671,0,0,"","LLG","1","TAS",NA,"Skemps property, Myrtle Bank","","","","","",1,6,2004,"","",1,"","",NA,"","",NA,NA,NA,NA,"18/3/15","AB","SS","",NA,"",NA,NA,"",NA,NA,NA,279,NA,NA,0
"50747",110062,172,172,42,4,0,146,9,0,42.06666,146.150001,0,0,"","LLG","1","TAS",NA,"Lake St Clair NP, Echo Point to Cynthia Bay","","","","","",22,4,2000,"","",1,"","",NA,"","",NA,NA,NA,NA,"18/3/15","AB","SS","",NA,"",NA,NA,"",NA,NA,NA,279,NA,NA,0
"57481",117048,58,58,41,24,0,147,58,0,41.399989,147.966669,0,0,"","LLG","1","TAS",NA,"Evercreech Forest Reserve","","","","","",16,6,2003,"","",1,"","",NA,"","",NA,NA,NA,NA,"18/3/15","AB","SS","",NA,"",NA,NA,"",NA,NA,NA,279,NA,NA,0
"45551",104716,272,272,42,0,0,147,0,0,42.999992,147.000004,0,0,"","LLG","1","TAS",NA,"Judbury Conservation Area","","","","","",25,7,2002,"","",1,"","",NA,"","",NA,NA,NA,NA,"18/3/15","AB","SS","",NA,"",NA,NA,"",NA,NA,NA,279,NA,NA,0
"12708",71187,1596,1596,42,0,0,147,0,0,42.999992,147.000004,0,0,"","LLG","1","TAS",NA,"Judbury Conservation Area","","","","","",25,7,2002,"","",1,"","",NA,"","",NA,NA,NA,NA,"18/3/15","AB","SS","",NA,"",NA,NA,"",NA,NA,NA,279,NA,NA,0
"53148",112497,101,101,42,48,0,146,41,0,42.799989,146.683332,0,0,"","LLG","1","TAS",NA,"Styx Valley, Shinglebend","","","","","",12,3,2011,"","",1,"","",NA,"","",NA,NA,NA,NA,"18/3/15","AB","SS","",NA,"",NA,NA,"",NA,NA,NA,279,NA,NA,0
"38157",97214,358,358,43,4,0,147,53,0,43.06666,147.883333,0,0,"","LLG","1","TAS",NA,"Taranna Forest Reserve","","","","","",1,6,2002,"","",1,"","",NA,"","",NA,NA,NA,NA,"18/3/15","AB","SS","",NA,"",NA,NA,"",NA,NA,NA,279,NA,NA,0
"47997",107277,232,232,42,41,0,146,42,0,42.683323,146.7,0,0,"","LLG","1","TAS",NA,"Mt. Field, Falls Loop","","","","","",28,4,2011,"","",1,"","",NA,"","",NA,NA,NA,NA,"18/3/15","AB","SS","",NA,"",NA,NA,"",NA,NA,NA,279,NA,NA,0
"52029",111380,128,128,43,5,0,147,54,0,43.083325,147.90001,0,0,"","LLG","1","TAS",NA,"Balts Spur Road","","","","","",10,5,2003,"","",1,"","",NA,"","",NA,NA,NA,NA,"18/3/15","AB","SS","",NA,"",NA,NA,"",NA,NA,NA,279,NA,NA,0
"28063",86841,513,513,42,59,0,147,57,0,42.983326,147.950002,0,0,"","LLG","1","TAS",NA,"Macgregors Peak","","","","","",10,4,2004,"","",1,"","",NA,"","",NA,NA,NA,NA,"18/3/15","AB","SS","",NA,"",NA,NA,"",NA,NA,NA,279,NA,NA,0
"18064",76732,861,861,42,52,0,147,9,0,42.866653,147.150008,0,0,"","LLG","1","TAS",NA,"Myrtle Forest","","","","","",29,7,2003,"","",1,"","",NA,"","",NA,NA,NA,NA,"18/3/15","AB","SS","",NA,"",NA,NA,"",NA,NA,NA,279,NA,NA,0
"48264",107613,224,224,42,57,0,147,12,0,42.949992,147.200005,0,0,"","LLG","1","TAS",NA,"North West Bay River","","","","","",24,6,2003,"","",1,"","",NA,"","",NA,NA,NA,NA,"18/3/15","AB","SS","",NA,"",NA,NA,"",NA,NA,NA,279,NA,NA,0
"46769",106033,256,256,43,6,0,146,41,0,43.099987,146.683338,0,0,"","LLG","1","TAS",NA,"Warra SST","","","","","",2,3,2004,"","",1,"","",NA,"","",NA,NA,NA,NA,"18/3/15","AB","SS","",NA,"",NA,NA,"",NA,NA,NA,279,NA,NA,0
"34767",93816,438,438,43,9,0,146,47,0,43.14999,146.783339,0,0,"","LLG","1","TAS",NA,"Arve Rd Keogh's Walk","","","","","",10,4,2001,"","",1,"","",NA,"","",NA,NA,NA,NA,"18/3/15","AB","SS","",NA,"",NA,NA,"",NA,NA,NA,279,NA,NA,0
"59430",119031,18,18,42,54,0,147,15,0,42.899987,147.250003,0,0,"","LLG","1","TAS",NA,"Myrtle Gully","","","","","",29,4,1998,"","",1,"","",NA,"","",NA,NA,NA,NA,"18/3/15","AB","SS","",NA,"",NA,NA,"",NA,NA,NA,279,NA,NA,0
"30356",89247,482,482,43,22,0,147,17,0,43.366659,147.283334,0,0,"","LLG","1","TAS",NA,"Mt. Mangana, Bruny Island","","","","","",31,3,2009,"","",1,"","",NA,"","",NA,NA,NA,NA,"18/3/15","AB","SS","",NA,"",NA,NA,"",NA,NA,NA,279,NA,NA,0
"14637",73118,1274,1274,42,59,0,147,57,0,42.983326,147.950002,0,0,"","LLG","1","TAS",NA,"Macgregors Peak","","","","","",10,4,2004,"","",1,"","",NA,"","",NA,NA,NA,NA,"18/3/15","AB","SS","",NA,"",NA,NA,"",NA,NA,NA,279,NA,NA,0
"36251",95334,412,412,43,12,0,146,52,0,43.199986,146.866676,0,0,"","LLG","1","TAS",NA,"Kermandie Falls","","","","","",12,2,2005,"","",1,"","",NA,"","",NA,NA,NA,NA,"18/3/15","AB","SS","",NA,"",NA,NA,"",NA,NA,NA,279,NA,NA,0
"32232",91170,452,452,41,24,0,147,58,0,41.399989,147.966669,0,0,"","LLG","1","TAS",NA,"Evercreech Forest Reserve","","","","","",3,5,2011,"","",1,"","",NA,"","",NA,NA,NA,NA,"18/3/15","AB","SS","",NA,"",NA,NA,"",NA,NA,NA,279,NA,NA,0
"45510",104672,272,272,42,56,0,147,16,0,42.933323,147.26667,0,0,"","LLG","1","TAS",NA,"Summerleas Road (Attila Vrana's property)","","","","","",2,8,2005,"","",1,"","",NA,"","",NA,NA,NA,NA,"18/3/15","AB","SS","",NA,"",NA,NA,"",NA,NA,NA,279,NA,NA,0
"46800",106064,256,256,42,42,0,147,51,0,42.699987,147.849999,0,0,"","LLG","1","TAS",NA,"Wielangta","","","","","",26,2,2002,"","",1,"","",NA,"","",NA,NA,NA,NA,"18/3/15","AB","SS","",NA,"",NA,NA,"",NA,NA,NA,279,NA,NA,0
"1506",11539,50,50,42,54,0,147,15,0,-42.9,147.25,NA,NA,"440","LLU","","TAS",NA,"Mount Wellington: Myrtle Gully & Old Farm Road Tracks","wet sclerophyll","","","","",31,7,2002,"","",7,"N","N",1,"","",NA,NA,NA,NA,"21/11/02","GL","S","",NA,"with D. Ratkowsky",NA,NA,"",NA,NA,2,279,NA,NA,NA
"44499",103611,280,280,42,44,0,146,25,0,42.733328,146.416667,0,0,"","LLG","1","TAS",NA,"Florentine F5 Road","","","","","",26,7,2003,"","",1,"","",NA,"","",NA,NA,NA,NA,"18/3/15","AB","SS","",NA,"",NA,NA,"",NA,NA,NA,279,NA,NA,0
"14928",73546,1251,1251,42,55,0,147,15,0,42.916656,147.250009,0,0,"","LLG","1","TAS",NA,"Mt. Wellington, S.E. Tracks","","","","","",23,8,2003,"","",1,"","",NA,"","",NA,NA,NA,NA,"18/3/15","AB","SS","",NA,"",NA,NA,"",NA,NA,NA,279,NA,NA,0
"48657",107834,220,220,41,21,0,146,55,0,41.349991,146.916674,0,0,"","LLG","1","TAS",NA,"Notley Gorge","","","","","",4,5,2011,"","",1,"","",NA,"","",NA,NA,NA,NA,"18/3/15","AB","SS","",NA,"",NA,NA,"",NA,NA,NA,279,NA,NA,0
"29035",87865,493,493,42,41,0,146,42,0,42.683323,146.7,0,0,"","LLG","1","TAS",NA,"Mt. Field, Falls Loop","","","","","",8,8,2002,"","",1,"","",NA,"","",NA,NA,NA,NA,"18/3/15","AB","SS","",NA,"",NA,NA,"",NA,NA,NA,279,NA,NA,0
"54574",113972,86,86,42,41,0,146,42,0,42.683323,146.7,0,0,"","LLG","1","TAS",NA,"Mt. Field, Falls Loop","","","","","",19,5,2012,"","",1,"","",NA,"","",NA,NA,NA,NA,"18/3/15","AB","SS","",NA,"",NA,NA,"",NA,NA,NA,279,NA,NA,0
