"","id","Sp_no","LAT","LA2","LA3","LONG","LO2","LO3","LATDEC","LONGDET","ALT","SGRIDS","PRCODE","STATE","VGR","LOCALITY","HABITAT","SUBSTRATE","HOSTgenus","HOSTsp","HOSTcname","DAY","MONTH","YEAR","date.comments","oldID","BATCH","PHOTO","SPECIMEN","Checked","Initial","date.checked","Basis...specimen","Basis...photo","PhotoID","Submitted.as","date.entered","DENTRY","SS","SH","SL","COMMENTS","COLL.NO","DET","HERB.NO","LITauth","LITbibl","AHC","recorded_by","Doubtful.record","Book.or.REF","REF.Number"
"45882",1208934,493,35,36,0,138,14,28,-35.6,138.2411111,"","DES","2","SA","","Fleurieu Peninsula. Deep Creek Conservation Park. Stringybark Trail","","","","","",3,7,2014,"","3/vii",49,"","n","No","","","","","","","30/12/15","GP","S","","","","","","","","",NA,49,"","",0
"33929",52949,791,37,28,39,144,17,28,-37.4775,144.2911111,"","LLG","2","VIC","","Blackwood. Jack Cann Reserve, Lerderderg River walk from Garden of St Erth carpark","Eucalypt open forest with Narrow-leaved peppermint (E. radiata), Manna gum (E. viminalis) and Messmate stringybark (E. obliqua) and understorey of various wattles including Blackwood (Acacia melanoxylon), banksias and peas.","Ground under pines","","","",19,6,2011,"","",102,"N","N","1","","","","","","","16/8/12","GP","S","","","","","","","","",NA,178,"","",0
"24979",42107,74,38,40,11,143,34,37,-38.66972222,143.5769444,"400","AMG","2","VIC","","South of Beech Forest.","In a small sequoia plantation, planted in 1930.","On the stump of a dead sequoia.","","","Sequoia",23,5,2008,"","",1,"N","N","1","","","0","0","","","24/2/09","WC","S","","","","","","","","",NA,1291,"","",0
"41899",64881,59,36,50,6,145,50,34,-36.835,145.8427778,"","AMG","2","VIC","","10km ENE of Strathbogie, Watkins Road, near bridge over Seven Creeks, in lane.","","","","","",2,5,2014,"","",23,"N","N","3","TM","8/7/14","0","4","","","13/1/15","WC","S","","","Photo stored on CD 86.","","","","","",NA,1520,"","",0
"57438",1217916,66,NA,NA,NA,NA,NA,NA,-41.683044,146.782043,"400","LLG","2","TAS","","Liffey Falls Reserve","Gallery rainforest, Nothofagus cunninghamii And Acacia dealbata with a Ferny understorey","in Nothofagus litter","Nothofagus","cunninghamii","Myrtle beech",18,5,2016,"","",6,"","","","","","","","","","8/12/17","GP","S","","","Det: Tom May","","","","","",NA,1570,"","",0
"53190",1212872,717,38,8,17,145,16,55,-38.13805556,145.2819444,"","LLG","2","VIC","","Royal Botanic Gardens Cranbourne, Stringybark Picnic area","","wood","","","",19,6,2016,"","",168,"Y","","1","","","","7","27682362892","","1/7/16","GP","S","","","","","","","","",NA,178,"","",0
"43519",120273,785,37,11,5,142,31,25,-37.18472222,142.5236111,"756","LLU","1","VIC","","Grampians National Park, on the walking track to the Sundial.","Eucalypt woodland with a fair smattering of sandstone rocks.","Soil","","","",25,8,2014,"","",6,"N","N","2","TM","19/9/14","","7","785el01","","21/4/15","WC","S","","","","","","","","",NA,1637,"","",0
"6855",8232,46,34,59,23,138,42,41,-34.98972222,138.7113889,"","LLG","","SA","","Near Crafers: Mount Lofty Botanic Garden","At base of stringybark","","Eucalyptus","obliqua","",23,3,2001,"","",17,"N","N","1","","","","","","","26/2/02","GA","S","","","","","","","","",1,49,"","",NA
"11765",17463,232,37,31,33,145,24,32,-37.52583333,145.4088889,"380","LLM","2","VIC","","track N of Kinglake-Healesville Rd, 600 m W of intersection with Melba Hwy","Eucalyptus obliqua, E. radiata forest","","","","",13,5,1999,"","",10,"","","1","","","","","","","2/1/04","CFR","S","","","","","","","","",4,9,"","",NA
"45579",1208807,972,34,58,3,138,37,46,-34.9675,138.6294444,"","LLG","2","SA","","Waite Arboretum, Urrbrae","","","","","",14,7,2013,"","14/vii",49,"","n","No","","","","","","","30/12/15","GP","S","","","","","","","","",NA,49,"","",0
