id,ICAFid,name,targetspecies,when introduced to list,AHC200 species,DEH200 species,Fungimapper,genus,species,species modifier,securitylevel,division,order,family,synonym,notes
422,8142,Abortiporus biennis,FALSE,,,,FALSE,Abortiporus,biennis,,0,,,,,
185,,Aecidium eburneum,FALSE,,AHC2,DEH,TRUE,Aecidium,eburneum,,2,,,,,
394,,Aecidium soleniiforme,FALSE,,,,TRUE,Aecidium,soleniiforme,,3,,,,,
1520,0,Aecidium sp.,FALSE,,,,FALSE,Aecidium,,,0,,,,,
1119,0,Agaricales sp.,FALSE,,,,FALSE,Agaricales,sp.,,,,,,,
186,1,Agaricus arvensis,FALSE,,AHC2,DEH,TRUE,Agaricus,arvensis,,2,,,,,
621,8,Agaricus augustus,FALSE,,,,FALSE,Agaricus,augustus,,0,,,,,
2500,0,Agaricus augustus group,FALSE,,,,FALSE,,,,0,,,,,
909,0,Agaricus austrovinaceus,FALSE,,,,FALSE,Agaricus,,,0,,,,,
2058,,Agaricus bisporus,FALSE,,,,FALSE,Agaricus,,,0,,,,,
374,17,Agaricus bitorquis,FALSE,,,,FALSE,Agaricus,bitorquis,,3,,,,,
655,18,Agaricus campestris,TRUE,,,,FALSE,Agaricus,,,0,,,,,
1466,0,Agaricus campestris var. campestris,TRUE,,,,FALSE,Agaricus,,,0,,,,,
1326,0,Agaricus campestris var. squamulosus,FALSE,,,,FALSE,Agaricus,,,0,,,,,
1327,0,Agaricus comtulus,FALSE,,,,FALSE,Agaricus,,,0,,,,,
2477,0,Agaricus erythrosarx,FALSE,,,,FALSE,,,,0,,,,,
1328,0,Agaricus impudicus,FALSE,,,,FALSE,Agaricus,,,0,,,,,
2455,0,Agaricus melanosporus,FALSE,,,,FALSE,,,,0,,,,,
961,0,Agaricus moelleri,FALSE,,,,FALSE,Agaricus,,,0,,,,,
487,,Agaricus rotalis,FALSE,,,,FALSE,Agaricus,rotalis,,0,,,,,
661,,Agaricus silvaticus,FALSE,,,,FALSE,Agaricus,,,0,,,,,
181,4664,Agaricus sp.,FALSE,,,,FALSE,Agaricus,sp.,,2,,,,,
1491,0,Agaricus sp. 5,FALSE,,,,FALSE,Agaricus,,,0,,,,,
1120,0,Agaricus sp. aff. augustus,FALSE,,,,FALSE,Agaricus,sp. Aff. Augustus,,,,,,,
1727,0,Agaricus sylvaticus,FALSE,,,,FALSE,Agaricus,,,0,,,,,
1,51,Agaricus xanthodermus,TRUE,New 1997,,,TRUE,Agaricus,xanthodermus,,2,Basidiomycota,Agaricales,Agaricaceae,,
915,0,Agrocybe cylindrica,FALSE,,,,FALSE,Agrocybe,,,0,,,,,
187,78,Agrocybe parasitica,FALSE,,AHC2,DEH,TRUE,Agrocybe,parasitica,,2,,,,,
401,83,Agrocybe praecox,FALSE,,,,FALSE,Agrocybe,praecox,,0,,,,,
2479,0,Agrocybe putaminum,FALSE,,,,FALSE,,,,0,,,,,
102,,Agrocybe semiorbicularis group,FALSE,,,,FALSE,Agrocybe,semiorbicularis group,,2,,,,,
165,97,Agrocybe sp.,FALSE,,,,FALSE,Agrocybe,sp.,,2,,,,,
1034,0,Agrocybe tunicola,FALSE,,,,FALSE,Agrocybe,,,0,,,,,
602,4535,Alboleptonia sericella,FALSE,,,,FALSE,Alboleptonia,sericella,,0,,,,,
2404,0,Alboleptonia stylophora,FALSE,,,,FALSE,,,,0,,,,,
188,,Aleuria aurantia,TRUE,,AHC2,DEH,TRUE,Aleuria,aurantia,,2,,,,,
103,,Aleuria rhenana,FALSE,,AHC2,DEH,TRUE,Aleuria,rhenana,,2,,,,,
1819,0,Aleuria venustula,FALSE,,,,FALSE,Aleuria,,,0,,,,,
2371,0,Aleurina argentina,FALSE,,,,FALSE,,,,0,,,,,
1726,0,Aleurina asperula,FALSE,,,,FALSE,Aleurina,,,0,,,,,
1725,0,Aleurina calospora,FALSE,,,,FALSE,Aleurina,,,0,,,,,
558,,Aleurina ferruginea,FALSE,,,,FALSE,Aleurina,ferruginea,,0,,,,,
571,10006,Aleurodiscus limonisporus,FALSE,,,,FALSE,Aleurodiscus,limonisporus,,0,,,,,
738,0,Aleurodiscus sparsus,FALSE,,,,FALSE,Aleurodiscus,,,0,,,,,
1820,0,Alpova clelandii,FALSE,,,,FALSE,Alpova,,,0,,,,,
1330,0,Amanita albosquamosa,FALSE,,,,FALSE,Amanita,,,0,,,,,
1329,0,Amanita albovolvata,FALSE,,,,FALSE,Amanita,,,0,,,,,
1724,0,Amanita ananiceps,FALSE,,,,FALSE,Amanita,,,0,,,,,
376,,Amanita ananiceps group,FALSE,,,,FALSE,Amanita,ananiceps,,3,,,,,
1524,0,Amanita angustispora,FALSE,,,,FALSE,Amanita,,,0,,,,,
189,3998,Amanita armeniaca,FALSE,,AHC2,DEH,TRUE,Amanita,armeniaca,,2,,,,,
2,118,Amanita austroviridis,TRUE,New 1999,,,TRUE,Amanita,austroviridis,,2,Basidiomycota,Agaricales,Amanitaceae,,
1331,0,Amanita basibulbosa,FALSE,,,,FALSE,Amanita,,,0,,,,,
673,0,Amanita basiorubra,FALSE,,,,FALSE,Amanita,,,0,,,,,
190,124,Amanita carneiphylla,FALSE,,AHC2,DEH,TRUE,Amanita,carneiphylla,,1,,,,,
2525,0,Amanita cheelii group,FALSE,,,,FALSE,,,,0,,,,,
3,4014,Amanita chlorophylla,TRUE,New 1999,,,TRUE,Amanita,chlorophylla,,2,Basidiomycota,Agaricales,Amanitaceae,,
1821,0,Amanita cinereoannulosa,FALSE,,,,FALSE,Amanita,,,0,,,,,
1332,0,Amanita clelandii,FALSE,,,,FALSE,Amanita,,,0,,,,,
1822,0,Amanita conicobulbosa,FALSE,,,,FALSE,Amanita,,,0,,,,,
1516,0,Amanita conicoverrucosa,FALSE,,,,FALSE,Amanita,,,0,,,,,
1333,0,Amanita crematelloides,FALSE,,,,FALSE,Amanita,,,0,,,,,
1723,0,Amanita effusa,FALSE,,,,FALSE,Amanita,,,0,,,,,
1334,0,Amanita egreginus,FALSE,,,,FALSE,Amanita,,,0,,,,,
993,0,Amanita elongatospora,FALSE,,,,FALSE,Amanita,,,0,,,,,
997,0,Amanita eucalypti,FALSE,,,,FALSE,Amanita,,,0,,,,,
104,143,Amanita farinacea,FALSE,,,,FALSE,Amanita,farinacea,,2,,,,,
1559,0,Amanita farinacea group,FALSE,,,,FALSE,Amanita,,,0,,,,,
2494,0,Amanita fibrillopes,FALSE,,,,FALSE,,,,0,,,,,
1054,0,Amanita flavella,FALSE,,,,FALSE,Amanita,,,0,,,,,
998,0,Amanita flaviphylla,FALSE,,,,FALSE,Amanita,,,0,,,,,
1335,0,Amanita fuscobrunnea,FALSE,,,,FALSE,Amanita,,,0,,,,,
1336,0,Amanita gossypinoannulata,FALSE,,,,FALSE,Amanita,,,0,,,,,
1530,0,Amanita grisea,FALSE,,,,FALSE,Amanita,,,0,,,,,
191,159,Amanita griseibrunnea,FALSE,,AHC2,DEH,TRUE,Amanita,griseibrunnea,,1,,,,,
1824,0,Amanita grisella,FALSE,,,,FALSE,Amanita,,,0,,,,,
662,0,Amanita grisella group,FALSE,,,,FALSE,Amanita,,,0,,,,,
651,164,Amanita grisella var. luteolovelata,FALSE,,,,FALSE,Amanita,,,0,,,,,
1337,0,Amanita griselloides,FALSE,,,,FALSE,Amanita,,,0,,,,,
1825,0,Amanita griseoconia,FALSE,,,,FALSE,Amanita,,,0,,,,,
1826,0,Amanita grossa,FALSE,,,,FALSE,Amanita,,,0,,,,,
192,4526,Amanita hemibapha group,FALSE,,AHC2,DEH,TRUE,Amanita,hemibapha,,2,,,,,
2489,0,Amanita hiltonii group,FALSE,,,,FALSE,,,,0,,,,,
1827,0,Amanita kammala,FALSE,,,,FALSE,Amanita,,,0,,,,,
1828,0,Amanita luteofusca,FALSE,,,,FALSE,Amanita,,,0,,,,,
1366,0,Amanita luteolovelata,FALSE,,,,FALSE,Amanita,,,0,,,,,
2491,0,Amanita marmorata,FALSE,,,,FALSE,,,,0,,,,,
1338,0,Amanita murina,FALSE,,,,FALSE,Amanita,,,0,,,,,
1339,0,Amanita murinaster,FALSE,,,,FALSE,Amanita,,,0,,,,,
