ALL NAMES,DATABASE NAME
Agaricus xanthodermus,Agaricus xanthodermus
Agrocybe parasitica,Cyclocybe parasitica
Aleuria aurantia,Aleuria aurantia
Aleuria rhenana,Sowerbyella rhenana 
Aleurina ferruginea,Aleurina ferruginea
Amanita aff. hemibapha,Amanita aff. hemibapha
Amanita arenaria,Amanita arenaria
Amanita armeniaca,Amanita armeniaca
Amanita austropulchella,Amanita xanthocephala
Amanita austroviridis,Amanita austroviridis group
Amanita austroviridis group,Amanita austroviridis group
Amanita chlorophylla,Amanita austroviridis group
Amanita flavella,Amanita flavella
Amanita hemibapha,Amanita aff. hemibapha
Amanita muscaria,Amanita muscaria
Amanita phalloides,Amanita phalloides
Amanita pulchella,Amanita xanthocephala
Amanita xanthocephala,Amanita xanthocephala
Amanitopsis pulchella,Amanita xanthocephala
Amauroderma rude,Amauroderma rude
Annulohypoxylon bovei,Annulohypoxylon bovei
Anthracophyllum archeri,Anthracophyllum archeri
Anthurus archeri,Anthurus archeri
Armillaria luteobubalina,Armillaria luteobubalina
Ascocoryne sarcoides,Ascocoryne sarcoides
Aseroe rubra,Aseroe rubra
Asterophora mirabilis,Asterophora mirabilis
Astraeus hygrometricus,Astraeus hygrometricus
Aurantiporus pulcherrimus,Aurantiporus pulcherrimus
Auricularia delicata,Auricularia delicata group
Auricularia delicata group,Auricularia delicata group
Auriscalpium barbartum,Auriscalpium barbartum
Auriscalpium barbatum,Auriscalpium barbartum
Auriscalpium sp. 'Blackwood',Auriscalpium sp. 'Blackwood'
Australopilus palumanus,Australopilus palumanus
Austroboletus lacunosus,Austroboletus lacunosus group
Austroboletus lacunosus group,Austroboletus lacunosus group
Austroboletus occidentalis,Austroboletus lacunosus group
Austroboletus subvirens,Austroboletus subvirens
Austropaxillus infundibuliformis,Austropaxillus infundibuliformis group
Austropaxillus infundibuliformis group,Austropaxillus infundibuliformis group
Austropaxillus muelleri,Austropaxillus infundibuliformis group
Badimiella pteridophila,Badimiella pteridophila
Badimiella serusiauxii,Badimiella pteridophila
Banksiamyces macrocarpus,Banksiamyces macrocarpus
Barya agaricicola,Neobarya agaricicola
Battarrea phalloides,Battarrea phalloides
Battarrea stevenii,Battarrea phalloides
Beenakia dacostae,Beenakia dacostae
Bertrandia astatogala,Hygrocybe astatogala
Boedijnopeziza insititia,Cookeina insititia
Bolbitius fragilis,Bolbitius titubans
Bolbitius titubans,Bolbitius titubans
Bolbitius vitellinus,Bolbitius titubans
Boletellus obscurecoccineus,Boletellus obscurecoccineus
Boletus edulis,Boletus edulis
Bresadolia uda,Neolentiporus maculatissimus
Byssomerulius corium,Byssomerulius corium
Calostoma fuhreri,Calostoma fuhreri
Calostoma fuscum,Calostoma fuscum
Calostoma rodwayi,Calostoma rodwayi
Calyptella longipes,Calyptella longipes
Camarophyllus lilacinus,Cuphophyllus cheelii
Cantharellus concinnus,Cantharellus concinnus
Cantharellus lilacinus,Cuphophyllus cheelii
Ceratiomyxa fruticulosa,Ceratiomyxa fruticulosa
